USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
722212,92814,ST AUGUSTINE AIRPORT,US,FL,KSGJ,29.959,-81.34,3.1,20060101,20231024
722213,12819,LEESBURG REGIONAL AIRPORT,US,FL,KLEE,28.821,-81.81,20.9,20060101,20231024
722214,3070,MOORE COUNTY AIRPORT,US,TX,KDUX,35.858,-102.013,1129.3,20060101,20231024
722215,13884,BOB SIKES AIRPORT,US,FL,KCEW,30.777,-86.519,47.1,19730101,20231024
722217,63881,W H `BUD` BARRON AIRPORT,US,GA,KDBN,32.564,-82.985,94.2,20060101,20231024
722218,356,CAMBRIDGE DORCHESTER AIRPORT,US,MD,KCGE,38.533,-76.033,6.1,20061003,20231024
722221,444,DIXON AIRPORT,US,WY,KDWX,41.037,-107.493,1996.1,20130731,20231024
722223,13899,PENSACOLA REGIONAL AIRPORT,US,FL,KPNS,30.476,-87.186,36,19900228,20231024
722224,53862,PERRY FOLEY,US,FL,K40J,30.072,-83.574,13.7,20060101,20130501
722225,3855,PENSACOLA NAS,US,FL,KNPA,30.35,-87.317,8.5,19450201,20231024
722226,93841,WHITING FIELD NAVAL AIR STATION NORTH,US,FL,KNSE,30.717,-87.017,60.7,19730101,20231024
722227,3815,PENSACOLA SAUFLEY NAS,US,FL,,30.483,-87.35,28,19730102,19751231
722230,13894,MOBILE REGIONAL AIRPORT,US,AL,KMOB,30.688,-88.246,65.5,19730101,20231024
722231,357,HAMILTON MUNICIPAL AIRPORT,US,TX,KMNZ,31.666,-98.149,396.2,20090101,20231024
722235,13838,MOBILE DOWNTOWN AIRPORT,US,AL,KBFM,30.615,-88.063,4.9,19420701,20231024
722238,63873,HANCHEY ARMY HELIPORT (FORT RUCKER),US,AL,KHEY,31.35,-85.667,96.6,20060901,20231024
722239,53861,LOWE ARMY HELIPORT (FORT RUCKER),US,AL,KLOR,31.356,-85.751,74.4,20080717,20231024
722241,54925,WAYNE MUNICIPAL AIRPORT,US,NE,KLCG,42.242,-96.983,434,20060101,20231024
722243,3738,RICHMOND COUNTY AIRPORT,US,NC,KRCZ,34.891,-79.759,109.1,20061024,20231024
722244,358,COLLEGE PARK AP,US,MD,KCGS,38.981,-76.922,15.2,20061025,20231024
722245,3882,PANAMA CITY-BAY CO. INT AP,US,FL,KPFN,30.212,-85.683,6.4,20060101,20100603
722246,3844,DUKE FLD,US,FL,KEGI,30.65,-86.533,,19490908,20231023
722247,54785,SOMERSET AIRPORT,US,NJ,KSMQ,40.624,-74.669,30.1,20060101,20231024
722248,359,SOUTHLAND FIELD AIRPORT,US,LA,KUXL,30.131,-93.376,3.1,20061024,20231024
722249,63887,HOOK FIELD MUNICIPAL AIRPORT,US,OH,KMWO,39.531,-84.395,198.1,20061024,20231025
722250,13829,LAWSON AAF AIRPORT,US,GA,KLSF,32.337,-84.991,70.7,19390501,20231024
722251,53958,RUSTON REGIONAL AIRPORT,US,LA,KRSN,32.514,-92.588,94.8,20060425,20231024
722252,54923,MYERS FIELD AIRPORT,US,MN,KCNB,44.729,-96.266,363.6,20061018,20231024
722253,53992,MOREHOUSE MEMORIAL AIRPORT,US,LA,KBQP,32.756,-91.881,50.9,20061018,20231024
722255,93842,COLUMBUS METRO AIRPORT,US,GA,KCSG,32.516,-84.942,120,19480101,20231024
722256,64774,MARSHFIELD MUNICIPAL AIRPORT - GEORGE HARLOW FIELD,US,MA,KGHG,42.098,-70.672,3.4,20051219,20231024
722260,13895,MONTGOMERY RGNL (DANNELLY FD) AP,US,AL,KMGM,32.3,-86.407,66.2,19730101,20231024
722261,360,OKEECHOBEE COUNTY AIRPORT,US,FL,KOBE,27.267,-80.85,10.1,20070116,20231024
722265,13821,MAXWELL AFB AIRPORT,US,AL,KMXF,32.383,-86.35,52.1,19351001,20231024
722266,13850,CRAIG FLD,US,AL,KSEM,32.35,-86.983,51,19410701,19770831
722267,3878,TROY MUNICIPAL AIRPORT,US,AL,KTOI,31.857,-86.01,118.6,19730108,20231024
722268,13839,DOTHAN REGIONAL AIRPORT,US,AL,KDHN,31.318,-85.443,112.2,20060101,20231024
722268,93843,DOTHAN RGNL,US,AL,KDHN,31.317,-85.45,122,19411216,19971231
722269,3850,CAIRNS ARMY AIRFIELD (FORT RUCKER),US,AL,KOZR,31.267,-85.717,91.7,19541019,20231024
722270,13864,DOBBINS AIR RESERVE BASE AIRPORT,US,GA,KMGE,33.917,-84.517,325.5,19460901,20231024
722274,54939,CENTERVILLE MUNICIPAL AIRPORT,US,IA,KTVK,40.684,-92.901,311.8,20090510,20231024
722275,53843,ANDALUSIA-OPP MUNICIPAL AIRPORT,US,AL,K79J,31.306,-86.39,97.5,20060103,20231024
722276,53820,MIDDLETON FIELD AIRPORT,US,AL,KGZH,31.419,-87.048,79.1,20060101,20231024
722279,53852,PRYOR FIELD REGIONAL ARPT,US,AL,KDCU,34.658,-86.943,179.1,20060101,20231024
722280,13876,BIRMINGHAM INTERNATIONAL AIRPORT,US,AL,KBHM,33.565,-86.745,187.7,19420801,20231024
722284,3892,ABRN-OPLKA R G PITTS ARPT,US,AL,KAUO,32.616,-85.433,236.5,20060101,20230522
722285,3896,GADSDEN MUNICIPAL AIRPORT,US,AL,KGAD,33.967,-86.083,173.4,20060101,20231024
722286,93806,TUSCALOOSA MUNICIPAL ARPT,US,AL,KTCL,33.212,-87.616,45.3,19730101,20231024
722287,13871,ANNISTON METROPOLITAN ARPT,US,AL,KANB,33.59,-85.848,181.8,19730101,20231024
722290,3881,NWS METEOROLOGICAL OBSY,US,AL,KCKL,32.9,-87.25,138.1,19760325,20051008
722291,470,PLATTSMOUTH MUNICIPAL AIRPORT,US,NE,KPMV,40.948,-95.917,367.3,20061121,20231024
722300,53864,SHELBY COUNTY AIRPORT,US,AL,KEET,33.178,-86.782,172.5,20020101,20231024
722309,432,GRAND ISLE SAWRS,US,LA,KAXO,29.25,-89.966,2.1,20050103,20161103
722310,12916,LOUIS ARMSTRONG NEW ORLEANS INTL AP,US,LA,KMSY,29.998,-90.278,-1,19451001,20231024
